中药名,别名,英文名,药用部位,植物形态,产地分布,采收加工,药材性状,性味归经,功效与作用,临床应用,主要成分,配伍药方,药理研究,使用禁忌,图片路径,来源省份,药性,药味,归经
罗汉果 luohanguo,拉汗果、假苦瓜、光果木鳖、金不换。,Siraitiae Fructus。,葫芦科植物罗汉果Momordica grosvenori Swingle.的成熟果实。,多年生攀援草质藤本。长达5米。茎暗紫色，具纵棱，被白色或黄色柔毛及红色腺点；卷须2裂，几达中部。叶互生，叶片心状卵形，膜质，叶柄稍扭曲，被短柔毛。花单性，雌雄异株；雄花为腋生总状花序，被白色柔毛及红色腺毛，花萼漏斗状，5裂，被灰黄色柔毛，裂片先端呈线状长尾，花冠橙黄色，5全裂，先端渐尖，外被黑柔毛，雄蕊3枚，被白色腺毛，花药分离。雌花单生或3～5朵簇生于叶腋或呈短总状花序，子房下位，长卵形，被柔毛，花柱3，柱头2叉，具3个黄色或黑色退化雄蕊。果实圆球形或长圆球形或倒卵形，灰棕色，被柔毛，具10条纵线。种子扁长圆形，淡黄色，边缘具不规则齿状缺刻，中央稍凹入，边缘有放射状沟槽。花期6～8月，果期8～10月。,生于海拔300～500米的山区。分布于广西、江西、广东等地。,秋季果实由嫩绿色变深绿色时采收，晾数天后，低温干燥。,罗汉果呈卵形、椭圆形或球形，长4.5～8.5厘米，直径3.5～6厘米。表面褐色、黄褐色或绿褐色，有深色斑块及黄色柔毛，有的有6~11条纵纹。顶端有花柱残痕，基部有果梗痕。体轻，质脆，果皮薄，易破。果瓤(中、内果皮)海绵状，浅棕色。种子扁圆形，多数，长约1.5厘米，宽约1.2厘米；浅红色至棕红色，两面中间微凹陷，四周有放射状沟纹，边缘有槽。气微，味甜。,性凉，味甘。归肺经、大肠经。,清热润肺、滑肠通便。属清热药下属分类的清热解毒药。,用量9～15克，内服煎汤。用治伤风感冒咳嗽、咽痛失音、暑热口渴、肠燥便秘。,含罗汉果苷Ⅳ、罗汉果苷V、罗汉果苷Ⅶ，该苷甜度为蔗糖的300倍，苷元是葫芦素类化合物。尚含十多种氨基酸、黄酮、罗汉果苷元-3，24-二-氧-β-葡萄糖苷、D-甘露醇、罗汉果二醇苯甲酸酯、山柰酚和大量果糖。种仁含有油，其脂肪酸有癸酸、月桂酸、肉豆蔻酸、棕榈酸、硬脂酸、油酸及亚油酸等。,①治喉痛失音：罗汉果1个，切片，水煎，待冷后，频频饮服。(《食物中药与便方》),罗汉果可增强机体的细胞免疫功能；大剂量的罗汉果可能提高脾特异性玫瑰花环形成细胞的比率。,肺寒及脾胃虚寒者忌服。,http://www.zhongyoo.com//uploads/allimg/140122/1-14012210111b09.jpg,"广西,江西,广东",性凉,味甘,"肺经,大肠经"
血风藤 xuefengteng,青藤、铁牛入石、青筋藤、血风根、扁果藤、血宽筋、红蛇根、牛参、老人根。,Radux et Caulis Ventilaginis Leiocarpae,为鼠李科植物翼核果Ventilago leiocarpa Benth.的干燥根或茎。,木质藤本。高2～3米。根粗壮，外皮暗紫红色。茎多分枝，有细纵纹，幼枝绿色。单叶互生，革质，具柄；卵形或长圆形，长4～8厘米，宽2～3.5厘米，顶端渐尖，基部阔楔形或近圆形，两面绿色无毛，下面侧脉极明显。腋生聚伞花序或有时成顶生圆锥花序；花小，绿白色；花萼5裂，裂片三角形；花瓣5，匙形；雄蕊5；子房2室，藏于五角形的花盘内。坚果球形，熟时红褐色，顶部有一鸭舌形膜质的薄翅，翅长3～5厘米。花期夏季。,生于山涧沟边的疏林下或灌木丛中。主产于福建、台湾、广西、广东等地。,春秋季采收茎，切段，晒干。冬季挖根，切片，晒干。,血风藤为椭圆形、长圆形或不规则的斜切片，厚0.3-1厘米。栓皮灰棕色，栓皮脱落处现红棕色。切面木部黄色，导管孔单个或多个放射状排列，有的中央有细小的髓；质坚硬。气微，味微苦。,性温，味甘、苦。归肝经、肾经。,补气养血，祛风通络，强筋健骨。属活血化瘀药下分类的活血调经药。,内服：煎汤，15～30克；或浸酒。用于气血虚弱，风湿痹痛，腰膝酸软，筋骨痿弱，四肢麻木，跌打损伤，月经不调，血虚经闭。,茎的成分未见报道。根含蒽醌化合物：大黄素，大黄素甲醚，大黄素-6，8-二甲醚，1-羟基-6，7，8-三甲氧基-3-甲基蒽醌，1，2，4，8-四羟基-3-甲基蒽醌，翼核果醌，萘醌化合物：翼核果醌-Ⅰ，翼核果素。还含羽扇豆醇。,1.治腰肌劳损：血风藤15克，杜仲18克，炖猪脊骨食用。,血风藤具有保肝、抗炎的功效与作用，还能抑制肿瘤细胞株的生长。,尚不明确。,http://www.zhongyoo.com//uploads/allimg/2110/1-211010212911329.jpg,"福建,台湾,广西,广东",性温,"味甘,苦","肝经,肾经"
丁公藤 dinggongteng,麻辣子藤、包公藤、斑鱼烈。,Erycibes Caulis,旋花科植物丁公藤Erycibe obtusfolia Benth.的藤茎。,高大木质藤本。小枝黄绿色，有明显的棱，无毛。叶互生，淡红色，革质，椭圆形或倒长卵形，顶端钝或钝圆，基部渐狭成楔形，两面有毛，侧脉4～7对，在叶背面微突起，至边缘以内网结上举。聚伞花序，集成圆锥花序，腋生或顶生，花序轴、花序梗被淡褐色柔毛；花萼球形，萼片近圆形，外被淡褐色柔毛，有缘毛，毛不分叉；花冠白色，每一裂片具一近于三角形的外被毛的瓣中带；雄蕊5枚，不等长，花药与花丝近等长，花丝之间有鳞片；子房圆柱形，柱头圆锥状，贴着子房，两者近等长。浆果卵状椭圆形。,生于山谷湿润密林中或路旁灌丛。分布于广东、海南、云南等地。,全年均可采收，切成段或片，晒干。,斜切段或片。外皮灰黄色、灰褐色或浅棕褐色，稍粗糙，有浅沟槽及不规则纵裂纹或龟裂纹。皮孔点状或疣状，黄白色。老的栓皮呈薄片剥落。质坚硬，纤维较多，不易折断。切面椭圆形，黄褐色或浅黄棕色，异型维管束呈花朵状或块状，木质部导管呈点状。气微，味淡。,性温，味辛。归胃经、脾经、肝经。,祛风除湿、消肿止痛。属祛风湿药下属分类的祛风湿散寒药。,用量3～6克，配制酒剂，内服或外搽。用治风湿痹痛、半身不遂、跌扑肿痛、慢性风湿性关节炎、青光眼、各种疼痛。,丁公藤含包公藤甲素、包公藤丙素、凹脉丁公藤碱、东莨菪素、东莨菪苷等及酚酯类和有机胺等。另含包公藤乙素、东莨菪内酯及微量的咖啡酸及绿原酸等化学成分。丁公藤碱Ⅱ可作为丁公藤的鉴别。,①风湿痹痛，手足麻木：丁公藤、桂枝、枳壳、麻黄等，浸酒服。,丁公藤具有抗炎、缩瞳、镇痛、降低眼内压的功效与作用，并能解痉；对细胞免疫和体液免疫均有促进作用；有改善心功能作用。,有小毒。本品有强烈的发汗作用，虚弱者慎用，孕妇忌服。,http://www.zhongyoo.com//uploads/allimg/131031/1-131031102209D0.jpg,"广东,海南,云南",性温,味辛,"胃经,脾经,肝经"
东风橘 dongfengju,狗骨簕、东风桔、砐壳刺、狗吉、乌柑仔、山柑子、黄根、半天钓、假花椒、猪钓簕公。,Atalantiae Buxifoliae Radix Et Caulis,芸香科植物酒饼簕Atalantia buxifolia（Poir.）Oliv.的根。,多分枝、有刺灌木或矮乔木，秃净或幼枝被小柔毛，常有腋生强硬的刺。叶互生，腋间有锐刺，叶片厚革质，有油点，狭椭圆形、倒卵状椭圆形、卵形至近圆形，先端圆而凹入，基部窄而呈一屈柄，有多数纤弱的脉，揉之有柑橘香气。花两性，单生，或2~3朵聚生于叶腋内，无柄或近无柄；萼齿阔卵状三角形；花瓣6，白色；花萼近球形。浆果近球形，熟时蓝黑色。花期夏季。,生于旷野、村边、路旁灌木丛中。分布于广东、海南、广西等地。,全年采收。挖取根部，除净细根，洗净，趁鲜切成片段，晒干。,根呈圆柱形，多分枝，呈不规则弯曲状，长30～50厘米，直径为0.4～1.0厘米。多已切成不规则片块或短段。片块厚0.5～1厘米，短段长3～5厘米。表面棕黄色，外层栓皮易呈纸片状脱落，具支根痕及散在皮孔。质地硬、韧，断面纤维性，皮部棕黄色，木质部较大，黄白色。气微香，味微辛而苦。,性微温，味辛、苦。归肺经、胃经、脾经。,祛风解表、化痰止咳、理气止痛。属解表药下属分类的辛温解表药。,用量15～30克，煎服。用治感冒、头痛、咳嗽、支气管炎、疟疾、胃痛、风湿性关节炎、腰腿痛。,东风橘根皮含燕风橘碱、N-甲基东风橘碱、酒饼簕碱、N-甲基酒饼簕碱、5-羟基-N-甲基东风橘碱、黄酮苷、氨基酸、β-谷甾醇、葡萄内酯、柠檬苦素等化合物。,1.治流感，感冒，咳嗽，疟疾：东风橘干根或叶9～15克。水煎服。(《全国中草药汇编》),东风橘可改善慢性支气管炎大鼠的倦怠无力，进食减少和体重不增等症状，使大鼠支气管腔内分泌物减少和抑制支气管黏膜上皮细胞增生。东风桔叶所含的挥发油对细菌和某些致病真菌具有较强的抑制功效与作用，对金黄色葡萄球菌的生长活性有抑制作用。东风橘可治疟疾，治法是取本品30～60克，水煎，疟疾发作前4小时顿服，连服3～5天。,尚不明确。,http://www.zhongyoo.com//uploads/allimg/2110/1-21100H14U35I.jpg,"广东,海南,广西",性微温,"味辛,苦","肺经,胃经,脾经"
楤木 songmu,鸟不宿、刺老包、楤木白皮、鹊不宿、鹊水踏、刺龙苞、黑龙皮、雀不站、百鸟不栖、千枚针。,Adix et Cortex Araliae Chinensis,五加科植物楤木Aralia chinensis Linn.的根、根皮及树皮。,落叶灌木或小乔木，高3～8米。茎枝疏生皮刺，幼枝被黄棕色茸毛；叶为2回或3回单数羽状复叶，有小叶5～11，基部另有小叶1对，小叶卵形、宽卵形或长卵形。边缘有细锯齿，上面疏生粗伏毛，下面有黄色或灰色短柔毛，沿脉尤密；伞形花序集成顶生大圆锥花序，被黄棕色或灰棕色短柔毛；果圆球形，有5棱，熟时黑色。,多野生于较阴的低山坡、林下、山谷沟边、林缘、郊野路边或旷地灌丛中。主要分布于我国黄河以南至长江流域各地。,栽种2～3年的植株，秋冬即可挖根，树皮亦可同时采集。野生的楤木，全年可采。将挖取的根部洗净，剥取根皮及树皮，切段晒干。,楤木根皮筒状或片状。栓皮薄，灰褐色粗糙呈多片状翘裂，有时有横向皮孔，栓皮易剥脱，剥脱后皮呈淡黄白色，内面白色，光滑。质脆易折断，断面不平坦。气微，味苦。树皮剥落状，粗糙不平，有纵皱纹及横纹，并散生坚硬的刺。外面灰白色至灰褐色，内面黄白色而光滑。断面呈纤维性。气微香，嚼之带黏液性。,味甘、微苦，性平。归脾经、肝经、肾经。,祛风湿、利小便、散瘀血、消肿毒。属祛风湿药下属中的祛风湿强筋骨药。,用量15～30克，煎服或浸酒服；外用适量鲜品捣敷患处。用治风湿痹痛、腰肌劳损、腹水、胃病、骨髓炎、急性或慢性肝炎等。,楤木含三萜类皂苷，有楤木皂苷A、楤木皂苷B等；另含原儿茶酸、鞣质、胆碱及挥发油等。能提高人体的免疫功能，有类似人参样作用，国外早已作为人参的代用品，并制成各种保健品问世。,1.治大漆皮炎：偬木茎切碎，取250～500克，加水3000～4000毫升，煮沸30分钟去渣，趁热倒入脸盆，先熏患处，待水温和后，再洗患处。每日1～2次。[《中医杂志》1988，(4)：55],体外抑菌试验表明，楤木对金黄色葡萄球菌高度敏感，对醋酸及角叉菜所致的实验性关节炎有明显的抗炎的功效与作用。,孕妇慎用。,http://www.zhongyoo.com//uploads/allimg/2110/1-211006205201556.jpg,暂无数据,性平,"味甘,微苦","脾经,肝经,肾经"
大飞扬草 dafeiyangcao,飞扬草、白乳草、天泡草、大乳汁草、催乳草、大奶浆草。,Euphorbiae Hirtae Herba,大戟科植物飞扬草Euphorbia hirta L.的全草或带根全草。,一年生草本，被粗毛，含白色乳汁，通常由茎基部分枝。枝常淡红色或淡紫色，匍匐状或扩展，长15～40厘米。叶对生，卵形至矩圆形，长1～4厘米，基部略狭而偏斜，边缘有小锯齿，中部通常有紫斑；托叶小，线形。杯状花序多数密集成腋生头状花序；总苞宽钟形，外被柔毛，顶端4裂；腺体4，漏斗状，有短柄及花瓣状附属物；花单性，无花被；雌雄花同生于总苞内；雄花多数，雄蕊1枚；雌花单1，生于花序中央，子房3室，花柱3。蒴果阔卵形，长约1.6毫米，被毛，三角形。花期全年。,生于旷地、路旁、园边。分布于广东、广西、福建等地。,夏、秋季采收，晒干。,干燥带根全草。根细长弯曲；茎圆柱形，粗1.3毫米，稍屈曲，红棕色，有不规则的浅纵皱及小疣点，节明显，被黄绿色粗毛；质坚脆易断，断面木质白色，中空；叶多卷缩，纸质易碎；叶腋有花序，花细小，极多，干缩，或带蒴果。气弱而特异。,味辛、酸，性寒。归肺经、肝经。,清热、解毒、通乳、渗湿、止痒。属清热药下属分类的清热解毒药。,用量6～9克，煎服；鲜品1～2两，外用：煎水洗或捣敷。用治急性肠炎、菌痢、淋病、尿血、肺痈、乳痈、疔疮、肿毒、湿疹、脚癣、皮肤瘙痒。,含黄酮苷、酚类、三萜类。茎含卅烷醇、蒲公英赛醇、无羁萜、β-香树脂醇、β-谷甾醇、蒲公英赛酮、杨梅苷及卅一烷。花含没食子酸。,①治肺痈：鲜大飞扬全草一握，捣烂。绞汁半盏，开水冲服。(《福建民间草药》),大飞扬草具有中枢性镇痛及解热的功效与作用；具有抗菌、抗炎作用，能兴奋子宫。尚具有止泻作用，对变形阿米巴有细胞毒作用。雌性豚鼠在性成熟期前给予大飞扬草，可使乳腺加快发育及泌乳。,孕妇、脾胃虚寒者慎用。,http://www.zhongyoo.com//uploads/allimg/130528/1-13052Q50521U1.jpg,"广东,广西,福建",性寒,"味辛,酸","肺经,肝经"
何首乌 heshouwu,首乌、赤首乌、夜交藤根、生何首乌、地精、赤敛、陈知白、红内消、山哥、山精、何相公。,Polygoni Multiflori Radix。,蓼科植物何首乌Polygonum multiflorum Thunb.的块根。,多年生缠绕草本。块根肥大，外表红褐色至暗褐色。茎多分枝，下部稍木质化，上部较细，有时呈淡红色，具纵条纹，中空。叶互生，具长柄，卵状心形，先端渐尖，基部心形或近心形，全缘，两面较粗糙，无毛。托叶鞘状，膜质，无缘毛，常早落。花序圆锥状，顶生或腋生，开展；苞片卵形，中部绿色，边缘膜质透明，无毛；苞片内生白色小花2～4朵，花被片5，不等大，结果时外轮3片增大、肥厚，背部生宽翅，翅下延至花梗节处；雄蕊8枚，短于花被片；花柱3枚，柱头头状。瘦果三棱形，黑色，具光泽。花期10月，果期11月。,生于山脚阳处、溪边、路旁及灌木丛中。分布于广东、贵州、广西、河南、江苏等地。,秋、冬季叶枯萎时采挖，削去两端，洗净，个大的切成块，干燥。,何首乌呈团块状或不规则纺锤形。表面红棕色或红褐色，皱缩不平，有浅沟，并有横长皮孔及细根痕。体重，质坚实，不易折断，断面浅黄棕色或浅红棕色，显粉性，皮部有4～11个类圆形异型维管束环列，形成云锦状花纹，中央木部较大，有的呈木心。气微，味微苦而甘涩。,性温，味苦、甘、涩。归肝经、肾经、心经。,解毒、消痈、润肠通便。属泻下药下分类的润下药。,用量6～12克，煎服。用治瘰疬疮痈、风疹瘙痒、肠燥便秘、高血脂。,何首乌含蒽醌类化合物，其中大黄素-8-0-B-D-葡萄糖苷是何首乌中促智的活性成分之一；醌类成分二苯乙烯苷2，3，5，4-四羟基二苯乙烯一2-0-B-D-葡萄糖苷具有广泛的心血管活性、免疫调节、保肝作用等，酰胺化合物有穆坪马兜酰胺、N-反式阿魏酰基-3-甲基多巴胺等；色原酮类有7一羟基.2，5.二甲基色原酮等；以二苯乙烯苷，为抗衰老、降血脂的活性成分。另含的2，3，5，4-四羟基二苯乙烯-2-0-(6”-O-a-D-吡喃葡萄糖)-B-D-葡萄糖苷具抑制血管平滑肌细胞增殖活性作用。另含芦荟大黄素、大黄酚、大黄酚葸酮、大黄素、大黄素甲醚、大黄酸、云杉新苷等。,1.治疟疾：何首乌20克，甘草2克，小儿酌减。每日1剂，浓煎2小时，分3次食前服用，连用2天。[《广东医学·祖国医学版》1964，(4)：31],何首乌具抗衰老、增强免疫、促进肾上腺皮质的功效与作用。能促进血细胞新生和发育、调节血脂和抗动脉粥样硬化，并具保肝作用。抗动脉粥样硬化；延缓衰老；可增加离体兔心的冠脉血流量，可拮抗脑垂体后叶素引起的心率减慢，但对脑垂体后叶素引起的心律失常无拮抗作用；抗菌。,大便清泄及有湿痰者不宜，忌铁器。,http://www.zhongyoo.com//uploads/allimg/131112/1-131112152520391.jpg,"广东,贵州,广西,河南,江苏",性温,"味苦,甘,涩","肝经,肾经,心经"
走马箭 zoumajian,走马风、蒴藿根、陆英根、接骨木、排风藤、七叶根、掌落根。,Radix Sambuci,忍冬科植物蒴藿Sambucus chinensisLindl.的根茎。,灌木状草本。主根垂直，支根不多。茎具棱，平滑无毛。叶对生，单数羽状复叶，小叶5～9，长椭圆状披针形，先端渐尖，基部偏斜稍圆或阔楔形，边缘具密而尖锐的锯齿，两面均平滑无毛，或叶脉上有短柔毛；无托叶，小叶柄短或近于无柄。复伞形花序顶生，有短柔毛；小总苞片细小，卵状披针形；萼5裂，下部愈合成钟状；花冠白色，5裂，裂片卵形；雄蕊5枚，与花冠裂片互生，花丝短，药室向外开裂；子房卵圆形，柱头头状；花间杂有黄色杯状腺体。浆果球形，红色。花期8月，果期10月。,生于中海拔山地的路旁村边、荒地或沟谷向阳处。分布于广东、广西、江西等地。,全年可采，挖取根部，除去须根及泥沙，洗净，晒干。,走马箭呈长条形，稍扁，基弯曲，有分枝，长15～50厘米，直径0.3～0.8厘米。表面灰黄色，具突起而色较深的横长皮孔，有略扭曲的细纵皱纹及纤细毛须。质硬韧，难折断，断面皮部与木部撕裂状分离，皮部土灰黄色，木部纤维性，黄白色。气微，味淡。,性温，味甘、酸。,祛风除湿、活血散瘀。属祛风湿药下属分类的祛风湿强筋骨药。,用量6～12克，鲜品30～60克，煎服；或捣敷外用；或煎水洗。用治风湿疼痛、肾炎水肿、脚气浮肿、痢疾、黄疸、慢性气管炎、风疹瘙痒、丹毒、疮肿、跌打损伤、骨折。,走马箭含黄酮类、酚性成分、鞣质、糖类、氯原酸。,1.治水肿，坐卧不得，头面身体悉肿：蒴藿根刮去皮，捣汁一合，和酒一合，暖空心服，当微吐利。(《梅师集验方》),动物试验表明，走马箭有加速骨折愈合作用和消肿的功效与作用。其注射液临床用治急性痢疾、急性化脓性扁桃体炎和肺炎均有较好疗效。,尚不明确。,http://www.zhongyoo.com//uploads/allimg/2109/1-210923164442415.jpg,"广东,广西,江西",性温,"味甘,酸",暂无数据
穿心莲 chuanxinlian,一见喜、苦胆草、印度草、榄核莲、四方莲。,Andrographis Herba,爵床科植物穿心莲Andrographis paniculata (Burm.f.)Nees.的地上部分。,多年生草本。单叶，对生，纸质，叶片卵状、矩圆状披针形。总状花序顶生或腋生，集成大型圆锥花序；裂片三角状披针形；花冠白色而下唇带紫色斑纹，二唇形；雄蕊2枚；子房上位。蒴果扁，有2条纵槽，疏生腺毛，成熟后开裂为2果瓣。种子多数，骨质，多皱纹，秃净，黄色或深褐色。花期8～9月，果期10月。,穿心莲生于湿热的平原、丘陵地区。江西、湖南、福建、广东、广西、四川有栽培，目前长江南北各地广泛引种。,夏、秋季采收。割取地上部分，晒干。,茎方柱形，多分枝，节稍膨大；质脆，易折断。单叶对生，叶柄短或近无柄；叶片皱缩、易碎，完整者展开后呈披针形或卵状披针形，先端渐尖，基部楔形下延，全缘或波状；上表面绿色，下表面灰绿色，两面光滑。气微，味极苦。,味苦，性寒。归肺经、胃经、肝经。,清热解毒、凉血、消肿。属清热药下属中的清热解毒药。,穿心莲用量6～9克，煎服；外用适量。用治感冒发热、咽喉肿痛、口舌生疮、顿咳劳嗽、泄泻痢疾、热淋涩痛、痈肿疮疡、毒蛇咬伤。,"含二萜内酯类化合物：主要有穿心莲内酯、穿心莲黄酮、木蝴蝶素A、穿心莲黄酮苷、脱水穿心莲内酯、脱水穿心莲内酯，并含有去氧穿心莲内酯、新穿心莲内酯、高穿心莲内酯、潘尼内酯、穿心莲酮、穿心莲烷等；还含14-去氧-11-氧化穿心莲内酯、14-去氧-11,12-二去氧穿心莲内酯、14-去氧穿心莲内酯及穿心莲内酯苷、14-去氧穿心莲内酯苷；另外，根茎含黄酮类化合物。",①1.治流感：穿心莲叶研末，每日2～3次，每服3克；预防流感，穿心莲叶研细粉，吹入咽喉中，每日1次。(《青岛中草药手册》),穿心莲主要具有解热的功效与作用；多种穿心莲内酯及各种注射剂均有解热效果；还有抗病原微生物及抗炎、增强免疫功能；总黄酮体内体外能抑制ADP诱导的血小板聚集，抗异丙肾上腺素所致大鼠心肌损伤和对实验性心肌梗死兔有一定保护作用；另外，还有保肝利胆、抗肿瘤、抗蛇毒、抗生育作用。能明显抑制钙调素激活靶酶环核苷酸磷酸二酯酶的活性；对牛眼晶状体内醛糖还原酶有一定抑制作用；有抑制大肠杆菌的作用，且对大肠杆菌毒素引起的腹泻有对抗作用。,阳虚及脾胃虚寒者慎用。不宜过量或久服。,http://www.zhongyoo.com//uploads/allimg/130528/1-13052Q40556437.jpg,"江西,湖南,福建,广东,广西,四川",性寒,味苦,"肺经,胃经,肝经"
黄精 huangjing,甜黄精、姜形黄精、白及黄精、玉竹黄精、兔竹、垂珠、龙衔、太阳草、野仙姜、山生姜、鸡头参、黄鸡菜、马箭、笔菜、黄芝、笔管菜、阳雀蕻、土灵芝、老虎姜。,Polygonati Rhizoma,为百合科植物黄精Polygonatum sibiricum Red.、滇黄精Polygonatum kingianum Coll.etHemsl.、多花黄精Polygonatum cyrtonema Hua.的根茎。按形状不同，习称“鸡头黄精”、“大黄精”、“姜形黄精”。,黄精：多年生草本，高50～90厘米。根茎横走，圆柱状，结节膨大。叶轮生，无柄，每轮4～6片；叶片条状披针形，长8～15厘米，宽0.4～1.6厘米，先端卷曲。花腋生，2～4朵成伞形花丛，总花梗长1～2厘米；花被筒状，白色至淡黄色，全长0.9～1.3厘米，裂片6，披针形；雄蕊6枚，花丝短为子房长1.5～2倍。浆果球形，成熟时紫黑色。花期5～6月，果期7～9月。,黄精：生于山地林下、灌丛或山坡的半阴处。分布于东北、华北及陕西、宁夏、浙江等地。,春、秋季采挖，除去须根，洗净，置沸水中略烫或蒸至透心，捞出晒干或烘干。,鸡头黄精：呈结节状弯柱形，长3～10厘米，直径0.5～1.5厘米。结节长2～4厘米，略呈圆锥形，常有分枝；表面黄白色或灰黄色，半透明，有纵皱纹，茎痕圆形，直径5～8毫米。,性平，味甘。归肺经、脾经、肾经。,补气养阴、健脾、润肺、益肾。属补虚药下分类的补阴药。,用量9～15克，煎服，鲜品30～60克；或入丸、散，熬膏。外用：适量，煎汤洗；熬膏涂；或浸酒搽。用治脾胃虚弱、体倦乏力、口干食少、肺虚燥咳、精血不足、内热消渴。,黄精含甾体皂苷类成分，如薯蓣皂苷元、毛地黄糖苷、菝葜皂苷元等；黄酮类成分有芹菜黄素等。总糖含量为26.78%～46.40%，总蒽醌含量为0.0726%～0.128%。另含吖丁啶羧酸、天门冬氨酸、高丝氨酸牡荆素木糖苷、异甘草素玻、丁香脂素、14α-羟基西伯利亚蓼苷A、滇黄精苷A等。,1.治足癣、体癣：黄精30克，丁香10克，百部10克。煎水外洗。(《新编常用中草药手册》),黄精能增加冠脉流量、调血脂、降血糖、抗衰老和增强免疫。黄精粗多糖具免疫调节的功效与作用，对化学性肝损伤具保护作用，另具抗炎和抗病毒作用。此外，还具抑菌、抗病原微生物、降压、止血等作用。现代临床用治冠心病、高脂血症、糖尿病、白细胞减少症、肺结核、慢性肝炎、脑力及睡眠不足、头痛、阳痿及癣菌病等。,中寒泄泻，痰湿痞满气滞者忌服。,http://www.zhongyoo.com//uploads/allimg/131126/1-131126111426202.jpg,"华北,陕西,宁夏,浙江",性平,味甘,"肺经,脾经,肾经"
赤小豆 chixiaodou,赤豆、红小豆、朱小豆、小豆、红豆、猪肝赤、杜赤豆、小红绿豆、虱牳豆、朱赤豆、金红小豆、茅柴赤、米赤豆。,Rice Bean,豆科植物赤小豆Phaseolus calcaratus Roxb.的成熟种子。,一年生直立草本，或上部缠绕状。嫩时被倒生细毛，老时无毛。3出复叶；托叶披针形或卵状披针形；小叶纸质，披针形、长圆状披针形或卵圆形至宽卵圆形，有时稍呈菱形，先端渐尖或急尖，基部阔三角形、近圆形或近截形，有时侧生小叶偏斜，全缘，两面无毛或仅叶脉上有疏毛，基出脉3条。总状花序腋生，有花数朵至多数；小苞片2，具毛；花萼淡绿色，短钟形，萼齿5；花冠蝶形，黄色，旗瓣圆肾形，先端微凹，基部心形，翼瓣斜卵形，基部具渐狭的爪，龙骨瓣狭长，先端延长成喙状，螺旋状卷曲；子房上位，密被短硬毛。狭果细瘦，线状扁柱形，通常弯曲镰形，先端具喙。种子长椭圆形，狭窄，暗红色，少有褐色、黑色或草黄色，种脐凹陷。花期5～8月，果期8～9月。,栽培，也有野生。分布于广东、广西等地，我国南部各省普遍栽种。,秋季荚果成熟而未开裂时拔取全株，晒干，打下种子，除去杂质，再晒干。,赤小豆呈长圆形而稍扁。表面紫红色，无光泽或微有光泽，一侧有线形突起的种脐，偏向一端，白色，中间凹陷成纵沟。另～侧有一条不明显的棱脊。质硬，不易破碎。子叶乳白色。无臭，味微甘。,味甘、酸，性平。归心经、小肠经。,利水消肿、解毒排脓。属利水渗湿药下属中的利水消肿药。,用量9～30克，煎服；外用适量，研末调敷。赤小豆主治水肿胀满、脚气肢肿、黄疸尿赤、风湿热痹、痈肿疮毒、肠痈腹痛。,赤小豆含有糖类、三萜皂苷。还含3-呋喃甲醇-p-D-吡喃葡萄糖苷、赤豆皂苷Ⅰ-Ⅵ、原矢车菊素Bi、原矢车菊素B3、D-儿茶精、D-表儿茶精、烟酸、核黄素等成分。,1.治疽初作：赤小豆末醋敷之，亦消。(《小品方》),抑制胰蛋白酶。20%赤小豆煎剂对金黄色葡萄球菌、福氏痢疾杆菌等有抑制的功效与作用，还具有增强细胞免疫、避孕等作用。,阴虚津伤者慎服，过剂可渗利伤津。,http://www.zhongyoo.com//uploads/allimg/130528/1-13052Q40143J0.jpg,"广东,广西",性平,"味甘,酸","心经,小肠经"
方解石 fangjieshi,黄石。,Calcite。,为碳酸盐类方解石族矿物方解石Calcite矿石。,晶体结构属三方晶系。晶体为菱面体，也有呈柱状及板状者。常以钟乳状或致密粒状集合体产出。多为无色或乳白色，如有混入物，则成灰、黄、玫瑰、红、褐等各种色彩。具玻璃光泽，透明至不透明，有完全的解理，晶体可沿三个不同的方向劈开。断口贝壳状，硬度3，性脆，相对密度2.6～2.8。是内生热液矿脉及沉积的碳酸盐类岩石的重要组成部分。,产于沉积岩和变质岩中，金属矿脉中也多有存在，而且晶体较好。分布广泛，河北、江苏、浙江、安徽、江西、河南、湖北、湖南、广东、广西、四川、贵州、西藏、甘肃、青海、新疆等地均有产出。,采挖出后除去表面附着泥土、水苔等杂质。,方解石主为菱面体集合体，呈斜方扁块状、斜方柱状。白色，有的稍带浅黄或浅红色调。表面光滑，有棱。透明至半透明；玻璃光泽，用小刀可刻划成痕。体较重，质硬而脆，易砸碎，碎片多呈斜方形或斜长方形。无臭，无味。本品以色白、透明、有光泽、击碎后呈方形、具棱角者为佳。,性寒，味苦、辛。,清热泻火解毒。属清热药下分类的清热泻火药。,内服：煎汤，10～30克；或入散剂。主治胸中烦热，吐酸口渴，黄疸。,方解石主含碳酸钙，其中氧化钙56%，二氧化碳44%。尚含少量镁、铁、锰，以及微量的锌、锶、铅等。,暂无数据,研究证明，方解石有减低毛细血管通透性，抑制体液外渗及水肿，抑制神经应激机能的功效与作用。,非实热者慎用。,http://www.zhongyoo.com//uploads/allimg/1906/1-1Z620095529209.jpg,"河北,江苏,浙江,安徽,江西,河南,湖北,湖南,广东,广西,四川,贵州,西藏,甘肃,青海,新疆",性寒,"味苦,辛",暂无数据
